2026-05-02 01:04:18.342 [main] INFO  com.example.pts.PtsApplication - Starting PtsApplication using Java 21.0.8 with PID 11720 (D:\Projeler\Network-Based-Multiplayer-Game-Project\backend\target\classes started by umuta in D:\Projeler\Network-Based-Multiplayer-Game-Project\backend)
2026-05-02 01:04:18.347 [main] INFO  com.example.pts.PtsApplication - No active profile set, falling back to 1 default profile: "default"
2026-05-02 01:04:19.561 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data MongoDB repositories in DEFAULT mode.
2026-05-02 01:04:19.721 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 148 ms. Found 2 MongoDB repository interfaces.
2026-05-02 01:04:21.693 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8088 (http)
2026-05-02 01:04:21.740 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2026-05-02 01:04:21.743 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.33]
2026-05-02 01:04:21.924 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2026-05-02 01:04:21.924 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 3410 ms
2026-05-02 01:04:22.455 [cluster-ClusterId{value='69f5236649610d2dba83dbee', description='Cluster0'}-srv-cluster0.ivocl6r.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-yvm3tif-shard-00-01.ivocl6r.mongodb.net:27017 to client view of cluster
2026-05-02 01:04:22.491 [main] INFO  org.mongodb.driver.client - MongoClient with metadata {"application": {"name": "Cluster0"}, "driver": {"name": "mongo-java-driver|sync|spring-boot", "version": "5.2.1"}, "os": {"type": "Windows", "name": "Windows 11", "architecture": "amd64", "version": "10.0"}, "platform": "Java/Oracle Corporation/21.0.8+12-LTS-250"} created with settings MongoClientSettings{readPreference=primary, writeConcern=WriteConcern{w=majority, wTimeout=null ms, journal=null}, retryWrites=true, retryReads=true, readConcern=ReadConcern{level=null}, credential=MongoCredential{mechanism=null, userName='umu1aksoy_db_user', source='admin', password=<hidden>, mechanismProperties=<hidden>}, transportSettings=null, commandListeners=[], codecRegistry=ProvidersCodecRegistry{codecProviders=[ValueCodecProvider{}, BsonValueCodecProvider{}, DBRefCodecProvider{}, DBObjectCodecProvider{}, DocumentCodecProvider{}, CollectionCodecProvider{}, IterableCodecProvider{}, MapCodecProvider{}, GeoJsonCodecProvider{}, GridFSFileCodecProvider{}, Jsr310CodecProvider{}, JsonObjectCodecProvider{}, BsonCodecProvider{}, EnumCodecProvider{}, com.mongodb.client.model.mql.ExpressionCodecProvider@d13960e, com.mongodb.Jep395RecordCodecProvider@27f3f512, com.mongodb.KotlinCodecProvider@5e593b08]}, loggerSettings=LoggerSettings{maxDocumentLength=1000}, clusterSettings={hosts=[127.0.0.1:27017], srvHost=cluster0.ivocl6r.mongodb.net, srvServiceName=mongodb, mode=MULTIPLE, requiredClusterType=REPLICA_SET, requiredReplicaSetName='atlas-32wnve-shard-0', serverSelector='null', clusterListeners='[]', serverSelectionTimeout='30000 ms', localThreshold='15 ms'}, socketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=0, receiveBufferSize=0, proxySettings=ProxySettings{host=null, port=null, username=null, password=null}}, heartbeatSocketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=10000, receiveBufferSize=0, proxySettings=ProxySettings{host=null, port=null, username=null, password=null}}, connectionPoolSettings=ConnectionPoolSettings{maxSize=100, minSize=0, maxWaitTimeMS=120000, maxConnectionLifeTimeMS=0, maxConnectionIdleTimeMS=0, maintenanceInitialDelayMS=0, maintenanceFrequencyMS=60000, connectionPoolListeners=[], maxConnecting=2}, serverSettings=ServerSettings{heartbeatFrequencyMS=10000, minHeartbeatFrequencyMS=500, serverMonitoringMode=AUTO, serverListeners='[]', serverMonitorListeners='[]'}, sslSettings=SslSettings{enabled=true, invalidHostNameAllowed=false, context=null}, applicationName='Cluster0', compressorList=[], uuidRepresentation=JAVA_LEGACY, serverApi=null, autoEncryptionSettings=null, dnsClient=null, inetAddressResolver=null, contextProvider=null, timeoutMS=null}
2026-05-02 01:04:22.550 [cluster-ClusterId{value='69f5236649610d2dba83dbee', description='Cluster0'}-srv-cluster0.ivocl6r.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-yvm3tif-shard-00-02.ivocl6r.mongodb.net:27017 to client view of cluster
2026-05-02 01:04:22.574 [cluster-ClusterId{value='69f5236649610d2dba83dbee', description='Cluster0'}-srv-cluster0.ivocl6r.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-yvm3tif-shard-00-00.ivocl6r.mongodb.net:27017 to client view of cluster
2026-05-02 01:04:23.916 [main] INFO  o.s.s.c.a.a.c.InitializeUserDetailsBeanManagerConfigurer$InitializeUserDetailsManagerConfigurer - Global AuthenticationManager configured with UserDetailsService bean with name customUserDetailsService
2026-05-02 01:04:24.603 [cluster-ClusterId{value='69f5236649610d2dba83dbee', description='Cluster0'}-ac-yvm3tif-shard-00-00.ivocl6r.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=ac-yvm3tif-shard-00-00.ivocl6r.mongodb.net:27017, type=REPLICA_SET_SECONDARY, cryptd=false, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=948587400, minRoundTripTimeNanos=0, setName='atlas-32wnve-shard-0', canonicalAddress=ac-yvm3tif-shard-00-00.ivocl6r.mongodb.net:27017, hosts=[ac-yvm3tif-shard-00-00.ivocl6r.mongodb.net:27017, ac-yvm3tif-shard-00-01.ivocl6r.mongodb.net:27017, ac-yvm3tif-shard-00-02.ivocl6r.mongodb.net:27017], passives=[], arbiters=[], primary='ac-yvm3tif-shard-00-02.ivocl6r.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='afs1-az1'}, Tag{name='cacheState', value='READY'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AF_SOUTH_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=null, setVersion=36, topologyVersion=TopologyVersion{processId=69f4dea0af5ceecefcc9e2bf, counter=4}, lastWriteDate=Sat May 02 01:04:21 TRT 2026, lastUpdateTimeNanos=185101021703500}
2026-05-02 01:04:24.605 [cluster-ClusterId{value='69f5236649610d2dba83dbee', description='Cluster0'}-ac-yvm3tif-shard-00-01.ivocl6r.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=ac-yvm3tif-shard-00-01.ivocl6r.mongodb.net:27017, type=REPLICA_SET_SECONDARY, cryptd=false, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=946363400, minRoundTripTimeNanos=0, setName='atlas-32wnve-shard-0', canonicalAddress=ac-yvm3tif-shard-00-01.ivocl6r.mongodb.net:27017, hosts=[ac-yvm3tif-shard-00-00.ivocl6r.mongodb.net:27017, ac-yvm3tif-shard-00-01.ivocl6r.mongodb.net:27017, ac-yvm3tif-shard-00-02.ivocl6r.mongodb.net:27017], passives=[], arbiters=[], primary='ac-yvm3tif-shard-00-02.ivocl6r.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='afs1-az2'}, Tag{name='cacheState', value='READY'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AF_SOUTH_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=null, setVersion=36, topologyVersion=TopologyVersion{processId=69f4e42456da94126f1cda2c, counter=3}, lastWriteDate=Sat May 02 01:04:21 TRT 2026, lastUpdateTimeNanos=185101021279400}
2026-05-02 01:04:24.606 [cluster-ClusterId{value='69f5236649610d2dba83dbee', description='Cluster0'}-ac-yvm3tif-shard-00-02.ivocl6r.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=ac-yvm3tif-shard-00-02.ivocl6r.mongodb.net:27017, type=REPLICA_SET_PRIMARY, cryptd=false, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=947857900, minRoundTripTimeNanos=0, setName='atlas-32wnve-shard-0', canonicalAddress=ac-yvm3tif-shard-00-02.ivocl6r.mongodb.net:27017, hosts=[ac-yvm3tif-shard-00-00.ivocl6r.mongodb.net:27017, ac-yvm3tif-shard-00-01.ivocl6r.mongodb.net:27017, ac-yvm3tif-shard-00-02.ivocl6r.mongodb.net:27017], passives=[], arbiters=[], primary='ac-yvm3tif-shard-00-02.ivocl6r.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='afs1-az3'}, Tag{name='cacheState', value='READY'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AF_SOUTH_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=7fffffff000000000000006b, setVersion=36, topologyVersion=TopologyVersion{processId=69f4e1470f9cc5b4fe63115f, counter=6}, lastWriteDate=Sat May 02 01:04:21 TRT 2026, lastUpdateTimeNanos=185101021279400}
2026-05-02 01:04:24.622 [cluster-ClusterId{value='69f5236649610d2dba83dbee', description='Cluster0'}-ac-yvm3tif-shard-00-02.ivocl6r.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Discovered replica set primary ac-yvm3tif-shard-00-02.ivocl6r.mongodb.net:27017 with max election id 7fffffff000000000000006b and max set version 36
2026-05-02 01:04:25.588 [main] INFO  o.s.m.s.b.SimpleBrokerMessageHandler - Starting...
2026-05-02 01:04:25.593 [main] INFO  o.s.m.s.b.SimpleBrokerMessageHandler - BrokerAvailabilityEvent[available=true, SimpleBrokerMessageHandler [org.springframework.messaging.simp.broker.DefaultSubscriptionRegistry@72a34537]]
2026-05-02 01:04:25.594 [main] INFO  o.s.m.s.b.SimpleBrokerMessageHandler - Started.
2026-05-02 01:04:25.622 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8088 (http) with context path '/'
2026-05-02 01:04:25.650 [main] INFO  com.example.pts.PtsApplication - Started PtsApplication in 8.289 seconds (process running for 8.941)
2026-05-02 01:04:25.804 [main] DEBUG o.s.data.mongodb.core.MongoTemplate - Remove using query: {} in collection: lobbies.
2026-05-02 01:05:25.589 [MessageBroker-1] INFO  o.s.w.s.c.WebSocketMessageBrokerStats - WebSocketSession[0 current WS(0)-HttpStream(0)-HttpPoll(0), 0 total, 0 closed abnormally (0 connect failure, 0 send limit, 0 transport error)], stompSubProtocol[processed CONNECT(0)-CONNECTED(0)-DISCONNECT(0)], stompBrokerRelay[null], inboundChannel[pool size = 0, active threads = 0, queued tasks = 0, completed tasks = 0], outboundChannel[pool size = 0, active threads = 0, queued tasks = 0, completed tasks = 0], sockJsScheduler[pool size = 2, active threads = 1, queued tasks = 1, completed tasks = 0]
